iter	Passed	Remaining
0	8	8727
1	17	8798
2	24	8170
3	32	8138
4	40	8037
5	48	8023
6	56	8024
7	64	7991
8	72	8000
9	81	8098
10	89	8066
11	97	8041
12	105	8019
13	113	7974
14	121	7965
15	128	7926
16	137	7932
17	144	7894
18	153	7939
19	161	7929
20	169	7909
21	177	7874
22	185	7876
23	192	7836
24	200	7830
25	208	7795
26	217	7822
27	224	7797
28	233	7821
29	240	7787
30	249	7800
31	256	7771
32	264	7757
33	272	7737
34	280	7726
35	287	7698
36	295	7686
37	302	7666
38	311	7664
39	318	7655
40	326	7647
41	334	7633
42	342	7622
43	351	7630
44	359	7636
45	367	7628
46	376	7625
47	384	7621
48	392	7621
49	400	7609
50	408	7605
51	416	7599
52	424	7587
53	432	7576
54	440	7563
55	448	7559
56	455	7539
57	463	7531
58	470	7510
59	479	7506
60	486	7491
61	495	7496
62	502	7479
63	511	7474
64	518	7458
65	526	7451
66	533	7435
67	542	7429
68	549	7414
69	558	7413
70	565	7395
71	573	7386
72	580	7372
73	588	7360
74	595	7347
75	603	7333
76	611	7325
77	618	7309
78	626	7304
79	635	7302
80	643	7300
81	650	7285
82	658	7278
83	666	7267
84	674	7257
85	681	7241
86	689	7236
87	696	7222
88	704	7213
89	712	7200
90	720	7194
91	727	7181
92	735	7172
93	742	7158
94	750	7146
95	758	7139
96	765	7127
97	774	7129
98	781	7115
99	789	7106
100	796	7093
101	805	7091
102	812	7077
103	820	7071
104	828	7059
105	836	7054
106	843	7040
107	851	7032
108	858	7019
109	867	7016
110	874	7004
111	882	6997
112	890	6988
113	897	6976
114	905	6968
115	914	6965
116	921	6956
117	929	6944
118	936	6935
119	944	6923
120	952	6916
121	959	6905
122	967	6899
123	974	6887
124	982	6879
125	990	6867
126	997	6857
127	1005	6848
128	1012	6837
129	1020	6830
130	1027	6818
131	1036	6814
132	1043	6800
133	1052	6801
134	1059	6788
135	1067	6781
136	1074	6767
137	1083	6764
138	1092	6766
139	1100	6759
140	1107	6749
141	1115	6742
142	1123	6734
143	1132	6732
144	1140	6724
145	1149	6720
146	1157	6716
147	1165	6709
148	1172	6699
149	1181	6692
150	1189	6686
151	1197	6678
152	1204	6669
153	1212	6661
154	1220	6651
155	1227	6641
156	1235	6634
157	1243	6626
158	1251	6617
159	1258	6608
160	1266	6598
161	1273	6589
162	1281	6581
163	1289	6572
164	1297	6564
165	1304	6554
166	1312	6548
167	1320	6539
168	1329	6537
169	1337	6531
170	1346	6527
171	1354	6519
172	1363	6516
173	1370	6505
174	1378	6499
175	1386	6489
176	1393	6481
177	1401	6470
178	1409	6463
179	1416	6454
180	1425	6449
181	1432	6437
182	1440	6429
183	1447	6419
184	1455	6411
185	1462	6400
186	1471	6397
187	1478	6388
188	1486	6377
189	1494	6369
190	1501	6359
191	1509	6353
192	1517	6344
193	1525	6338
194	1533	6328
195	1541	6321
196	1548	6311
197	1556	6302
198	1563	6293
199	1571	6285
200	1578	6274
201	1585	6264
202	1593	6255
203	1600	6245
204	1609	6241
205	1616	6230
206	1624	6223
207	1631	6212
208	1639	6204
209	1646	6195
210	1655	6190
211	1663	6181
212	1671	6174
213	1678	6164
214	1686	6159
215	1694	6149
216	1702	6142
217	1709	6133
218	1717	6126
219	1725	6116
220	1732	6107
221	1740	6098
222	1748	6092
223	1756	6084
224	1763	6073
225	1771	6065
226	1778	6054
227	1785	6046
228	1793	6037
229	1801	6029
230	1808	6019
231	1815	6010
232	1823	6002
233	1831	5994
234	1838	5984
235	1845	5974
236	1853	5968
237	1861	5958
238	1869	5951
239	1876	5942
240	1884	5936
241	1892	5926
242	1900	5919
243	1907	5908
244	1915	5901
245	1922	5892
246	1930	5884
247	1937	5875
248	1944	5866
249	1952	5858
250	1960	5849
251	1968	5841
252	1975	5832
253	1983	5824
254	1990	5815
255	1998	5808
256	2006	5799
257	2014	5793
258	2021	5784
259	2031	5782
260	2039	5773
261	2047	5766
262	2054	5758
263	2063	5752
264	2072	5747
265	2080	5740
266	2088	5733
267	2096	5726
268	2104	5718
269	2112	5711
270	2120	5704
271	2128	5697
272	2136	5688
273	2143	5680
274	2151	5671
275	2159	5664
276	2167	5658
277	2175	5650
278	2182	5641
279	2190	5632
280	2197	5623
281	2205	5614
282	2214	5610
283	2221	5601
284	2229	5593
285	2236	5584
286	2244	5576
287	2251	5567
288	2259	5558
289	2266	5550
290	2275	5543
291	2282	5533
292	2290	5526
293	2297	5517
294	2306	5511
295	2314	5503
296	2322	5496
297	2329	5487
298	2336	5477
299	2344	5470
300	2352	5462
301	2359	5454
302	2367	5445
303	2375	5438
304	2382	5429
305	2390	5421
306	2398	5413
307	2406	5406
308	2413	5398
309	2434	5418
310	2446	5419
311	2454	5413
312	2461	5402
313	2469	5394
314	2476	5385
315	2484	5377
316	2491	5369
317	2499	5361
318	2507	5352
319	2514	5343
320	2522	5335
321	2529	5325
322	2537	5318
323	2544	5308
324	2552	5301
325	2560	5294
326	2569	5287
327	2576	5279
328	2585	5272
329	2592	5263
330	2600	5256
331	2608	5248
332	2616	5241
333	2624	5233
334	2632	5226
335	2640	5217
336	2648	5210
337	2655	5201
338	2663	5192
339	2671	5185
340	2678	5175
341	2686	5168
342	2693	5158
343	2702	5153
344	2709	5143
345	2717	5136
346	2724	5127
347	2732	5119
348	2740	5111
349	2748	5104
350	2755	5094
351	2763	5087
352	2770	5078
353	2778	5069
354	2785	5061
355	2793	5052
356	2800	5044
357	2808	5036
358	2816	5028
359	2824	5020
360	2832	5013
361	2840	5006
362	2848	4999
363	2856	4990
364	2865	4984
365	2872	4976
366	2881	4969
367	2889	4962
368	2898	4956
369	2905	4947
370	2914	4940
371	2921	4931
372	2929	4924
373	2936	4915
374	2945	4908
375	2952	4899
376	2960	4892
377	2968	4884
378	2976	4877
379	2984	4869
380	2992	4861
381	2999	4852
382	3006	4843
383	3014	4835
384	3022	4828
385	3030	4820
386	3037	4811
387	3046	4804
388	3053	4795
389	3060	4787
390	3068	4778
391	3076	4771
392	3083	4763
393	3091	4754
394	3099	4746
395	3107	4739
396	3115	4732
397	3124	4725
398	3131	4716
399	3139	4709
400	3147	4701
401	3155	4694
402	3163	4686
403	3171	4679
404	3179	4670
405	3186	4662
406	3193	4653
407	3201	4644
408	3209	4637
409	3216	4628
410	3225	4622
